OBJECTID,SOVEREIGNT,TYPE_,COUNTRY,FIRST_OFFICIAL,SECOND_OFFICIAL,THIRD_OFFICIAL,ENGLISH_FIRST,FRENCH_FIRST,ARABIC_FIRST,SPANISH_FIRST,PORTUGUESE_FIRST,CHINESE_FIRST,RUSSIAN_FIRST,WORLD_LANGUAGES_FIRST
20,Botswana,Sovereign country,Botswana,English, , ,1,0,0,0,0,0,0,English
21,Central African Republic,Sovereign country,Central African Republic,French,Sangho, ,0,1,0,0,0,0,0,French
22,Canada,Sovereign country,Canada,English,French, ,1,1,0,0,0,0,0,English_French
23,Switzerland,Sovereign country,Switzerland,German,French,Italian,0,1,0,0,0,0,0,French
24,Chile,Sovereign country,Chile,Spanish, , ,0,0,0,1,0,0,0,Spanish
25,China,Country,China,Standard Chinese or Mandarin,Regional Chinese, ,0,0,0,0,0,1,0,Chinese
26,Ivory Coast,Sovereign country,Ivory Coast,French, , ,0,1,0,0,0,0,0,French
27,France,Dependency,Clipperton Island,French, , ,0,1,0,0,0,0,0,French
28,Cameroon,Sovereign country,Cameroon,English,French, ,1,1,0,0,0,0,0,English_French
29,Netherlands,Country,Aruba,Dutch, , ,0,0,0,0,0,0,0,Other
30,Afghanistan,Sovereign country,Afghanistan,Persian,Pashto,Dari,0,0,0,0,0,0,0,Other
31,Angola,Sovereign country,Angola,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
32,United Kingdom,Dependency,Anguilla,English, , ,1,0,0,0,0,0,0,English
33,Albania,Sovereign country,Albania,Albanian, , ,0,0,0,0,0,0,0,Other
34,Finland,Country,Aland,Finnish,Swedish, ,0,0,0,0,0,0,0,Other
35,Andorra,Sovereign country,Andorra,Catalan, , ,0,0,0,0,0,0,0,Other
36,United Arab Emirates,Sovereign country,United Arab Emirates,Arabic, , ,0,0,1,0,0,0,0,Arabic
37,Argentina,Sovereign country,Argentina,Spanish, , ,0,0,0,1,0,0,0,Spanish
38,Armenia,Sovereign country,Armenia,Armenian, , ,0,0,0,0,0,0,0,Other
39,United States of America,Dependency,American Samoa,Samoan,English, ,1,0,0,0,0,0,0,English
40,Antigua and Barbuda,Sovereign country,Antigua and Barbuda,English, , ,1,0,0,0,0,0,0,English
41,Australia,Country,Australia,English, , ,1,0,0,0,0,0,0,English
42,Austria,Sovereign country,Austria,German, , ,0,0,0,0,0,0,0,Other
43,Azerbaijan,Sovereign country,Azerbaijan,Azerbaijani, , ,0,0,0,0,0,0,0,Other
45,Belgium,Sovereign country,Belgium,Dutch,French,German,0,1,0,0,0,0,0,French
46,Benin,Sovereign country,Benin,French, , ,0,1,0,0,0,0,0,French
47,Burkina Faso,Sovereign country,Burkina Faso,French, , ,0,1,0,0,0,0,0,French
